account_id,name,delivery_address,phone_number,device_fingerprint,payout_account,ip_address,account_age_days,ground_truth_group,ground_truth_id
ACC00001,Aditya Kumar,"House 438878, Block 433, Lake View, Kolkata - 700085",+91-9092028132,DEV-Android-13-978060116472,BANKACC-8074578746,169.130.32.213,405,background,
ACC00002,Myra Reddy,"House 926764, Block 781, Model Town, Bengaluru - 560402",+91-9468259088,DEV-iOS-17-304514849606,1574355304@upi,124.218.211.71,568,background,
ACC00003,Arjun Kumar,"House 354526, Block 68, Hill Road, Ahmedabad - 380445",+91-9679271012,DEV-Windows-11-275174837066,1394233892@upi,104.139.39.189,615,background,
ACC00004,Meera Singh,"House 967508, Block 411, Station Road, Pune - 411904",+91-8111316870,DEV-iOS-17-270524223175,5281344335@upi,29.84.57.143,603,background,
ACC00005,Yash Chatterjee,"House 832677, Block 629, Green Avenue, Bengaluru - 560097",+91-7937079105,DEV-Windows-11-824287921746,BANKACC-3594952935,87.61.174.162,126,background,
ACC00006,Pooja Malhotra,"House 7363, Block 796, Green Avenue, Jaipur - 302779",+91-8994452440,DEV-Windows-11-802656127918,BANKACC-6118670763,102.9.35.63,103,background,
ACC00007,Aadhya Pillai,"House 471096, Block 854, Sector 12, Kolkata - 700079",+91-9294961713,DEV-iOS-18-598221460591,3735550882@upi,125.153.7.88,393,background,
ACC00008,Dev Kapoor,"House 408528, Block 991, Lake View, Delhi - 110034",+91-7701783949,DEV-Android-13-353245502819,BANKACC-6957248631,66.32.142.128,705,background,
ACC00009,Dev Pillai,"House 406387, Block 418, Lake View, Hyderabad - 500320",+91-7500940085,DEV-Android-13-181043074697,BANKACC-5156895071,161.182.41.228,451,background,
ACC00010,Yash Malhotra,"House 696319, Block 495, Civil Lines, Hyderabad - 500166",+91-8143031488,DEV-Android-14-667254333806,BANKACC-1788849273,81.87.30.86,865,background,
ACC00011,Ananya Bhatt,"House 699706, Block 457, Ring Road, Hyderabad - 500763",+91-9907433716,DEV-Windows-11-745201170242,BANKACC-3450174056,100.20.24.114,812,background,
ACC00012,Vihaan Bose,"House 202363, Block 721, Station Road, Ahmedabad - 380807",+91-8737659221,DEV-Android-14-870952855682,7475166602@upi,169.169.110.79,564,background,
ACC00013,Arjun Joshi,"House 649846, Block 628, MG Road, Mumbai - 400756",+91-8247380818,DEV-Android-13-544591737319,2300717699@upi,74.172.26.45,529,background,
ACC00014,Siddharth Malhotra,"House 925119, Block 988, Sector 12, Delhi - 110446",+91-8040565120,DEV-iOS-18-120523483926,5340730932@upi,213.119.199.17,75,background,
ACC00015,Ishaan Bose,"House 490707, Block 441, Hill Road, Kolkata - 700160",+91-8715158801,DEV-iOS-17-340278096782,BANKACC-5686051621,74.216.111.72,20,background,
ACC00016,Ananya Patel,"House 896159, Block 542, Park Street, Mumbai - 400301",+91-8662038411,DEV-Android-13-705016083735,6934803711@upi,63.186.185.238,692,background,
ACC00017,Rohan Gupta,"House 916011, Block 974, Ring Road, Kolkata - 700236",+91-7112222713,DEV-iOS-18-433830055475,8274263247@upi,185.245.80.52,857,background,
ACC00018,Isha Nair,"House 515057, Block 904, Ring Road, Kolkata - 700990",+91-9808026262,DEV-Android-13-140419557453,9931380075@upi,97.38.227.24,673,background,
ACC00019,Simran Agarwal,"House 893445, Block 116, Sector 12, Delhi - 110469",+91-7947711990,DEV-Windows-11-695495136850,1850200012@upi,83.187.190.97,236,background,
ACC00020,Aarav Bhatt,"House 240971, Block 32, Park Street, Ludhiana - 141067",+91-9493290271,DEV-Android-13-261341477341,8871058366@upi,134.11.50.71,279,background,
ACC00021,Dev Kumar,"House 971825, Block 499, Sector 12, Pune - 411433",+91-7431694092,DEV-Android-13-306690426998,7098928061@upi,30.247.31.76,456,background,
ACC00022,Meera Pillai,"House 581116, Block 417, Park Street, Ahmedabad - 380863",+91-9412212259,DEV-Windows-11-765085603523,BANKACC-2113784232,30.144.236.21,358,background,
ACC00023,Dev Iyer,"House 488584, Block 508, Model Town, Bengaluru - 560313",+91-9866756891,DEV-Android-14-932327586379,5996782380@upi,6.37.161.213,96,background,
ACC00024,Varun Gupta,"House 419114, Block 7, Hill Road, Ahmedabad - 380165",+91-8788026331,DEV-macOS-15-823924824050,8062871042@upi,104.215.4.168,99,background,
ACC00025,Ishaan Patel,"House 796816, Block 463, Ring Road, Delhi - 110333",+91-8592278862,DEV-iOS-18-880965058397,BANKACC-4713144123,134.30.95.235,383,background,
ACC00026,Vihaan Pillai,"House 867489, Block 274, Civil Lines, Ludhiana - 141530",+91-7743434182,DEV-Android-14-771412852218,BANKACC-1947502718,182.224.16.121,535,background,
ACC00027,Ananya Gupta,"House 824663, Block 319, Station Road, Bengaluru - 560922",+91-7431692373,DEV-macOS-15-248978550461,2382520556@upi,64.116.29.137,20,background,
ACC00028,Varun Verma,"House 174642, Block 830, MG Road, Bengaluru - 560428",+91-8773356439,DEV-Windows-11-454267411148,BANKACC-5540736132,71.187.223.201,766,background,
ACC00029,Priya Sharma,"House 181499, Block 888, Ring Road, Hyderabad - 500227",+91-7748167830,DEV-iOS-18-474636183132,4362527245@upi,11.236.133.227,92,background,
ACC00030,Aditya Patel,"House 51962, Block 404, Hill Road, Bengaluru - 560688",+91-7297385340,DEV-macOS-15-912387829533,8218232921@upi,218.147.198.159,578,background,
ACC00031,Riya Kumar,"House 134552, Block 825, Sector 12, Ahmedabad - 380322",+91-8542697027,DEV-macOS-15-516519429033,BANKACC-6756069440,86.63.67.16,126,background,
ACC00032,Aadhya Bose,"House 416889, Block 603, Ring Road, Bengaluru - 560337",+91-8102455454,DEV-iOS-17-394746007970,7171690108@upi,85.60.75.201,854,background,
ACC00033,Karan Bhatt,"House 480910, Block 769, Station Road, Jaipur - 302460",+91-8606296443,DEV-macOS-15-687328606503,5794500484@upi,179.195.161.19,260,background,
ACC00034,Sai Singh,"House 202405, Block 597, Model Town, Mumbai - 400502",+91-9582092703,DEV-Android-13-652941766487,BANKACC-7531440653,22.148.21.133,842,background,
ACC00035,Varun Gupta,"House 958879, Block 170, Lake View, Ludhiana - 141406",+91-8780950066,DEV-Windows-11-815603355083,BANKACC-3280450184,211.184.150.13,86,background,
ACC00036,Myra Rao,"House 171291, Block 130, Sector 12, Bengaluru - 560007",+91-8717252833,DEV-iOS-17-570368597961,BANKACC-8193202447,170.132.125.60,540,background,
ACC00037,Arjun Bhatt,"House 119734, Block 785, Park Street, Jaipur - 302720",+91-7263153936,DEV-iOS-18-476747470710,BANKACC-7041082719,172.186.85.187,808,background,
ACC00038,Pooja Kumar,"House 270535, Block 794, Station Road, Kolkata - 700531",+91-7943238171,DEV-Android-13-233005035287,4941136334@upi,208.188.97.33,656,background,
ACC00039,Sai Joshi,"House 936139, Block 361, Green Avenue, Ludhiana - 141612",+91-8438022593,DEV-iOS-17-987968390430,9560751939@upi,160.108.30.69,765,background,
ACC00040,Tanvi Rao,"House 121922, Block 478, Sector 12, Bengaluru - 560032",+91-9058259005,DEV-Android-13-508886165657,BANKACC-3658231227,184.246.116.80,398,background,
ACC00041,Aarav Iyer,"House 918441, Block 737, Green Avenue, Chennai - 600544",+91-7331745182,DEV-macOS-15-891280021876,BANKACC-8532069216,64.11.27.169,899,background,
ACC00042,Aarav Pillai,"House 650124, Block 623, MG Road, Bengaluru - 560680",+91-9691087709,DEV-Android-13-316745252236,7990911465@upi,32.206.50.4,819,background,
ACC00043,Ishaan Pillai,"House 36163, Block 6, MG Road, Ludhiana - 141156",+91-7154983797,DEV-iOS-18-821333629772,BANKACC-8644679585,53.62.14.170,721,background,
ACC00044,Dev Bhatt,"House 772107, Block 845, Model Town, Bengaluru - 560818",+91-9513850189,DEV-Android-13-281603899646,5540778911@upi,28.137.190.139,567,background,
ACC00045,Aditya Agarwal,"House 155213, Block 812, Green Avenue, Hyderabad - 500052",+91-7579111417,DEV-Android-14-738914227552,BANKACC-6503892453,218.129.13.18,555,background,
ACC00046,Aarav Sharma,"House 884144, Block 459, Green Avenue, Delhi - 110411",+91-7519343403,DEV-Android-13-265179905992,5127045781@upi,218.138.199.65,573,background,
ACC00047,Tanvi Joshi,"House 145130, Block 248, Hill Road, Hyderabad - 500540",+91-7903947652,DEV-iOS-18-729798350129,9465349686@upi,145.40.37.117,458,background,
ACC00048,Karan Chatterjee,"House 474168, Block 130, Park Street, Ludhiana - 141972",+91-7402295305,DEV-Android-14-374234143384,BANKACC-6498887922,95.102.161.246,371,background,
ACC00049,Arjun Chatterjee,"House 217629, Block 948, Sector 12, Jaipur - 302600",+91-7951092840,DEV-Android-13-476560039740,3030335813@upi,106.24.145.89,509,background,
ACC00050,Neha Singh,"House 647948, Block 586, Model Town, Chennai - 600616",+91-7948632165,DEV-Windows-11-594229945239,6634112327@upi,96.134.91.244,461,background,
ACC00051,Pooja Singh,"House 886402, Block 129, Hill Road, Chennai - 600849",+91-8510876004,DEV-iOS-18-819883369686,8536441260@upi,70.97.126.11,105,background,
ACC00052,Vivaan Verma,"House 841992, Block 821, MG Road, Jaipur - 302077",+91-7841860875,DEV-iOS-17-255695000672,BANKACC-7684233099,70.230.3.111,744,background,
ACC00053,Varun Agarwal,"House 372261, Block 708, Park Street, Hyderabad - 500239",+91-8802470160,DEV-Android-13-428427424970,BANKACC-9959180252,213.114.196.108,280,background,
ACC00054,Siddharth Pillai,"House 705405, Block 752, Station Road, Bengaluru - 560924",+91-8922640026,DEV-Android-13-288151892741,BANKACC-2473761738,117.181.42.106,752,background,
ACC00055,Meera Chauhan,"House 553012, Block 413, Ring Road, Chennai - 600947",+91-9970868584,DEV-Android-13-503421051928,BANKACC-1720443552,88.213.192.11,390,background,
ACC00056,Kiara Bose,"House 150673, Block 306, Park Street, Ludhiana - 141243",+91-9721294664,DEV-Android-13-309567056449,5411777881@upi,65.253.149.183,444,background,
ACC00057,Aarav Verma,"House 243667, Block 839, Lake View, Delhi - 110853",+91-8912760055,DEV-iOS-18-703182929815,BANKACC-1522976335,170.184.93.189,486,background,
ACC00058,Tanvi Iyer,"House 844478, Block 331, Civil Lines, Ludhiana - 141530",+91-9305872023,DEV-macOS-15-554312334612,6284115464@upi,202.30.216.98,307,background,
ACC00059,Neha Bose,"House 531410, Block 516, Park Street, Jaipur - 302021",+91-8195699837,DEV-macOS-15-667749016327,4049700720@upi,40.80.48.66,23,background,
ACC00060,Riya Bhatt,"House 448207, Block 420, Station Road, Kolkata - 700142",+91-8795360986,DEV-Android-13-350219895940,6703927956@upi,157.181.250.204,558,background,
ACC00061,Tanvi Bose,"House 761432, Block 650, Hill Road, Ludhiana - 141514",+91-9162035625,DEV-macOS-15-803804653663,2026936640@upi,193.129.186.205,396,background,
ACC00062,Isha Joshi,"House 654102, Block 417, Hill Road, Ludhiana - 141107",+91-9953623861,DEV-Android-14-760378147693,BANKACC-4118435751,167.1.31.76,37,background,
ACC00063,Myra Kumar,"House 489699, Block 874, Hill Road, Ludhiana - 141858",+91-8394839273,DEV-macOS-15-470418401974,1763373450@upi,177.56.141.137,722,background,
ACC00064,Krishna Bhatt,"House 822582, Block 238, MG Road, Hyderabad - 500054",+91-8118095782,DEV-Android-13-198354062002,BANKACC-7419323766,150.167.197.3,779,background,
ACC00065,Nikhil Singh,"House 800870, Block 382, MG Road, Pune - 411906",+91-7703519170,DEV-iOS-18-872312774161,5631664078@upi,1.67.172.135,27,background,
ACC00066,Nikhil Chatterjee,"House 895634, Block 610, Model Town, Kolkata - 700254",+91-7712947349,DEV-macOS-15-413228281068,BANKACC-3690492859,190.180.150.114,357,background,
ACC00067,Vihaan Nair,"House 886556, Block 865, Park Street, Chennai - 600678",+91-7254470750,DEV-iOS-17-745875232876,9988690329@upi,180.162.75.197,367,background,
ACC00068,Priya Gupta,"House 574871, Block 187, Hill Road, Bengaluru - 560854",+91-9102576122,DEV-iOS-18-453132183629,5472249364@upi,204.87.34.27,329,background,
ACC00069,Aditya Verma,"House 201979, Block 554, MG Road, Pune - 411301",+91-8359796682,DEV-iOS-18-408963216140,9632883454@upi,94.245.191.128,487,background,
ACC00070,Dev Nair,"House 896996, Block 386, Ring Road, Pune - 411559",+91-7975990177,DEV-macOS-15-576587849756,BANKACC-6316703146,165.158.166.7,270,background,
ACC00071,Simran Kapoor,"House 322492, Block 178, Park Street, Delhi - 110346",+91-9622810138,DEV-Android-14-605340454972,8054416983@upi,176.161.111.218,429,background,
ACC00072,Yash Chauhan,"House 674597, Block 256, Lake View, Chennai - 600670",+91-9707534030,DEV-Windows-11-266661410458,1917047415@upi,125.108.166.81,859,background,
ACC00073,Siddharth Mehta,"House 432972, Block 140, MG Road, Ludhiana - 141937",+91-9879276531,DEV-Android-13-136971183974,1589773905@upi,55.251.116.67,464,background,
ACC00074,Siddharth Iyer,"House 50961, Block 851, Park Street, Mumbai - 400634",+91-8153479975,DEV-Android-13-728370753048,3718644118@upi,46.125.100.59,375,background,
ACC00075,Arjun Sharma,"House 112071, Block 414, Lake View, Delhi - 110162",+91-7003619998,DEV-iOS-18-540551805855,4881943180@upi,74.140.199.119,757,background,
ACC00076,Myra Nair,"House 322490, Block 597, Ring Road, Delhi - 110913",+91-8439587693,DEV-Windows-11-305427587916,BANKACC-9373461557,74.123.12.126,415,background,
ACC00077,Simran Singh,"House 150454, Block 603, MG Road, Bengaluru - 560318",+91-7414611850,DEV-macOS-15-108333803639,BANKACC-1281551616,42.39.28.179,558,background,
ACC00078,Kiara Kapoor,"House 569211, Block 231, Sector 12, Mumbai - 400686",+91-9548254458,DEV-Android-13-868032513407,BANKACC-2464691374,138.228.197.252,770,background,
ACC00079,Ishaan Nair,"House 918792, Block 556, Civil Lines, Delhi - 110967",+91-8810291847,DEV-macOS-15-425382470774,BANKACC-3865592060,181.139.203.29,541,background,
ACC00080,Ishaan Kapoor,"House 414026, Block 635, Station Road, Chennai - 600822",+91-7234387568,DEV-Android-13-411830789866,2489389818@upi,5.168.184.214,637,background,
ACC00081,Rohan Singh,"House 317153, Block 124, Lake View, Jaipur - 302147",+91-8781431265,DEV-Android-13-229346795309,BANKACC-2556495427,154.202.129.31,892,background,
ACC00082,Krishna Sharma,"House 16580, Block 553, Hill Road, Ludhiana - 141577",+91-8753844935,DEV-Android-13-907571979777,5825803717@upi,196.42.158.47,246,background,
ACC00083,Varun Verma,"House 594567, Block 132, Ring Road, Hyderabad - 500343",+91-8990797902,DEV-macOS-15-116344489522,3081524856@upi,133.216.222.213,229,background,
ACC00084,Riya Rao,"House 553540, Block 525, Station Road, Bengaluru - 560750",+91-9032757938,DEV-Windows-11-610244015786,9850753682@upi,169.38.106.234,463,background,
ACC00085,Yash Sharma,"House 796027, Block 358, Sector 12, Mumbai - 400427",+91-8223894551,DEV-Android-13-900690779506,BANKACC-7143234383,88.119.38.91,865,background,
ACC00086,Krishna Malhotra,"House 199542, Block 919, Lake View, Kolkata - 700982",+91-9737631938,DEV-Android-14-522820799356,BANKACC-8905291603,163.164.96.105,465,background,
ACC00087,Aditya Singh,"House 731135, Block 533, Green Avenue, Kolkata - 700948",+91-8709749994,DEV-Android-13-913575961789,BANKACC-8182876921,193.128.25.1,184,background,
ACC00088,Saanvi Singh,"House 23141, Block 210, Hill Road, Hyderabad - 500987",+91-8131382447,DEV-Windows-11-898813979638,BANKACC-3872192397,88.88.155.145,523,background,
ACC00089,Diya Chatterjee,"House 601774, Block 575, Hill Road, Mumbai - 400503",+91-8402816091,DEV-Android-14-439485384594,2179978237@upi,88.84.41.78,616,background,
ACC00090,Vivaan Iyer,"House 954897, Block 726, Ring Road, Mumbai - 400197",+91-7296752558,DEV-Windows-11-892932446725,2818792914@upi,62.248.47.122,470,background,
ACC00091,Vivaan Bose,"House 259440, Block 128, MG Road, Hyderabad - 500008",+91-8444418085,DEV-macOS-15-687267280676,BANKACC-1996228666,111.59.64.35,266,background,
ACC00092,Rohan Kumar,"House 876710, Block 772, Hill Road, Pune - 411105",+91-9953665256,DEV-macOS-15-957699219490,BANKACC-2240141823,16.240.77.57,498,background,
ACC00093,Saanvi Verma,"House 845796, Block 742, Model Town, Jaipur - 302402",+91-8627056889,DEV-Android-13-327929926959,8667398419@upi,36.95.148.133,661,background,
ACC00094,Nikhil Nair,"House 371252, Block 834, Civil Lines, Jaipur - 302110",+91-9279912714,DEV-Windows-11-286132174762,BANKACC-2085898036,210.59.228.184,91,background,
ACC00095,Diya Nair,"House 846477, Block 617, Park Street, Bengaluru - 560650",+91-8240615532,DEV-iOS-17-320733075720,BANKACC-8662011843,158.146.223.190,306,background,
ACC00096,Priya Mehta,"House 248406, Block 333, Ring Road, Ahmedabad - 380295",+91-7483713289,DEV-macOS-15-899189945744,5658953691@upi,173.71.125.115,477,background,
ACC00097,Diya Mehta,"House 434563, Block 361, Park Street, Jaipur - 302359",+91-7376926425,DEV-macOS-15-533827683627,BANKACC-2472191899,212.95.141.243,187,background,
ACC00098,Arjun Nair,"House 30055, Block 380, Park Street, Jaipur - 302156",+91-9750410149,DEV-Android-14-647316290722,4604061206@upi,104.134.135.168,169,background,
ACC00099,Simran Chauhan,"House 818307, Block 816, Green Avenue, Bengaluru - 560370",+91-8406285528,DEV-Android-13-928599272445,BANKACC-1450960207,76.237.87.15,715,background,
ACC00100,Isha Rao,"House 750838, Block 637, Green Avenue, Mumbai - 400826",+91-7635828957,DEV-macOS-15-494190642627,1020778953@upi,142.140.253.72,253,background,
ACC00101,Tanvi Verma,"House 458262, Block 797, Park Street, Pune - 411433",+91-7456980886,DEV-iOS-18-453634652412,3872408451@upi,205.105.185.183,415,background,
ACC00102,Rohan Pillai,"House 599695, Block 73, Civil Lines, Kolkata - 700613",+91-9850057300,DEV-iOS-17-259511951124,8614068050@upi,151.148.10.250,405,background,
ACC00103,Ishaan Agarwal,"House 749618, Block 278, Hill Road, Ahmedabad - 380452",+91-8594177585,DEV-iOS-18-372232253023,4297019396@upi,211.187.188.100,363,background,
ACC00104,Tanvi Joshi,"House 719782, Block 589, Sector 12, Bengaluru - 560724",+91-9721139738,DEV-iOS-17-682364618328,4673410013@upi,77.118.112.66,114,background,
ACC00105,Pooja Verma,"House 667489, Block 132, Model Town, Pune - 411732",+91-8988637452,DEV-Android-13-393892158404,BANKACC-8003362802,44.239.219.191,222,background,
ACC00106,Meera Pillai,"House 129363, Block 870, Ring Road, Bengaluru - 560765",+91-7415935248,DEV-Android-14-707262892613,BANKACC-2822701671,203.244.138.139,631,background,
ACC00107,Siddharth Chauhan,"House 610060, Block 745, Ring Road, Chennai - 600307",+91-8876315771,DEV-Android-14-978515551621,BANKACC-7168849486,89.138.5.137,360,background,
ACC00108,Varun Agarwal,"House 610227, Block 362, Civil Lines, Ludhiana - 141176",+91-9807786257,DEV-macOS-15-389994106440,BANKACC-5408418304,121.112.161.206,301,background,
ACC00109,Pooja Kapoor,"House 912671, Block 953, Hill Road, Hyderabad - 500315",+91-9529894246,DEV-macOS-15-770492373200,BANKACC-7863310826,170.26.122.159,411,background,
ACC00110,Karan Kapoor,"House 644818, Block 633, Ring Road, Kolkata - 700305",+91-7773351559,DEV-iOS-18-468984149402,8344504149@upi,49.74.219.145,151,background,
ACC00111,Ananya Sharma,"House 336130, Block 454, Green Avenue, Mumbai - 400134",+91-9517431106,DEV-Android-13-796902311063,BANKACC-4510563311,26.114.254.73,174,background,
ACC00112,Yash Malhotra,"House 422800, Block 401, Model Town, Mumbai - 400876",+91-9798636067,DEV-macOS-15-162676572932,BANKACC-8116641764,31.63.69.121,796,background,
ACC00113,Reyansh Pillai,"House 111845, Block 710, Lake View, Hyderabad - 500575",+91-7529024015,DEV-iOS-17-596966435702,7175466239@upi,112.203.166.1,892,background,
ACC00114,Aarav Chauhan,"House 516459, Block 106, MG Road, Mumbai - 400682",+91-9183420641,DEV-macOS-15-386493748865,4822992322@upi,103.53.13.94,605,background,
ACC00115,Nikhil Reddy,"House 787463, Block 680, Lake View, Pune - 411905",+91-9463694282,DEV-iOS-17-389391114016,8212504903@upi,167.42.125.57,803,background,
ACC00116,Ishaan Gupta,"House 879068, Block 914, MG Road, Chennai - 600325",+91-7460537707,DEV-iOS-18-160766632168,BANKACC-1004668697,12.22.111.216,697,background,
